Year,Samsung,KIA,Lotte,LG,Doosan,Hanhwa,SK,Nexen,Total
2002,247698,231955,127995,637878,469080,158650,402732,118582,2394570
2003,356712,266111,150722,746858,425782,162735,438966,174915,2722801
2004,195872,155881,307537,620865,456726,128387,337674,129036,2331978
2005,360386,166197,652475,754888,616679,218333,458121,160764,3387843
2006,247787,204148,441133,718635,726359,244664,331143,126385,3040254
2007,336936,207232,759513,901172,786054,322537,656426,134559,4104429
2008,387231,367794,1379735,806662,929600,372986,754247,258077,5256332
2009,387389,582005,1380018,975333,1053966,375589,841270,329715,5925285
2010,455246,436285,1175665,1010078,1070673,397297,983886,399496,5928626
2011,508645,592653,1358322,1191715,1253735,464871,998660,441427,6810028
2012,544859,502016,1368995,1259480,1291703,519794,1069929,599381,7156157
2013,451483,470526,770731,1289297,1152615,386893,912042,479619,6441945
2014,505045,663430,830820,1167400,1128298,475126,829822,442941,6509915
